Film,Genre,Studio,Rotten Tomatoes %,Year,Poster URL
Youth in Revolt,Comedy,The Weinstein Company,68,2010,https://www.movies.com/1
You Will Meet a Tall Dark Stranger,Comedy,Independent,43,2010,https://www.movies.com/1
When in Rome,Comedy,Disney,15,2010,https://www.movies.com/1
What Happens in Vegas,Comedy,Fox,28,2008,https://www.movies.com/1
Water For Elephants,Drama,20th Century Fox,60,2011,https://www.movies.com/1
WALL-E,Animation,Disney,96,2008,https://www.movies.com/1
Waitress,Romance,Independent,89,2007,https://www.movies.com/1
Waiting For Forever,Romance,Independent,6,2011,https://www.movies.com/1
Valentine's Day,Comedy,Warner Bros.,17,2010,https://www.movies.com/1
Tyler Perry's Why Did I get Married,Romance,Independent,46,2007,https://www.movies.com/1
Twilight: Breaking Dawn,Romance,Independent,26,2011,https://www.movies.com/1
Twilight,Romance,Summit,49,2008,https://www.movies.com/1
The Ugly Truth,Comedy,Independent,14,2009,https://www.movies.com/1
The Twilight Saga: New Moon,Drama,Summit,27,2009,https://www.movies.com/1
The Time Traveler's Wife,Drama,Paramount,38,2009,https://www.movies.com/1
The Proposal,Comedy,Disney,43,2009,https://www.movies.com/1
The Invention of Lying,Comedy,Warner Bros.,56,2009,https://www.movies.com/1
The Heartbreak Kid,Comedy,Paramount,30,2007,https://www.movies.com/1
The Duchess,Drama,Paramount,60,2008,https://www.movies.com/1
The Curious Case of Benjamin Button,Fantasy,Warner Bros.,73,2008,https://www.movies.com/1
The Back-up Plan,Comedy,CBS,20,2010,https://www.movies.com/1
Tangled,Animation,Disney,89,2010,https://www.movies.com/1
Something Borrowed,Romance,Independent,15,2011,https://www.movies.com/1
She's Out of My League,Comedy,Paramount,57,2010,https://www.movies.com/1
Sex and the City Two,Comedy,Warner Bros.,15,2010,https://www.movies.com/1
Sex and the City 2,Comedy,Warner Bros.,15,2010,https://www.movies.com/1
Sex and the City,Comedy,Warner Bros.,49,2008,https://www.movies.com/1
Remember Me,Drama,Summit,28,2010,https://www.movies.com/1
Rachel Getting Married,Drama,Independent,85,2008,https://www.movies.com/1
Penelope,Comedy,Summit,52,2008,https://www.movies.com/1
P.S. I Love You,Romance,Independent,21,2007,https://www.movies.com/1
Over Her Dead Body,Comedy,New Line,15,2008,https://www.movies.com/1
Our Family Wedding,Comedy,Independent,14,2010,https://www.movies.com/1
One Day,Romance,Independent,37,2011,https://www.movies.com/1
Not Easily Broken,Drama,Independent,34,2009,https://www.movies.com/1
No Reservations,Comedy,Warner Bros.,39,2007,https://www.movies.com/1
Nick and Norah's Infinite Playlist,Comedy,Sony,73,2008,https://www.movies.com/1
New Year's Eve,Romance,Warner Bros.,8,2011,https://www.movies.com/1
My Week with Marilyn,Drama,The Weinstein Company,83,2011,https://www.movies.com/1
Music and Lyrics,Romance,Warner Bros.,63,2007,https://www.movies.com/1
Monte Carlo,Romance,20th Century Fox,38,2011,https://www.movies.com/1
Miss Pettigrew Lives for a Day,Comedy,Independent,78,2008,https://www.movies.com/1
Midnight in Paris,Romence,Sony,93,2011,https://www.movies.com/1
Marley and Me,Comedy,Fox,63,2008,https://www.movies.com/1
Mamma Mia!,Comedy,Universal,53,2008,https://www.movies.com/1
Mamma Mia!,Comedy,Universal,53,2008,https://www.movies.com/1
Made of Honor,Comdy,Sony,13,2008,https://www.movies.com/1
Love Happens,Drama,Universal,18,2009,https://www.movies.com/1
Love & Other Drugs,Comedy,Fox,48,2010,https://www.movies.com/1
Life as We Know It,Comedy,Independent,28,2010,https://www.movies.com/1
License to Wed,Comedy,Warner Bros.,8,2007,https://www.movies.com/1
Letters to Juliet,Comedy,Summit,40,2010,https://www.movies.com/1
Leap Year,Comedy,Universal,21,2010,https://www.movies.com/1
Knocked Up,Comedy,Universal,91,2007,https://www.movies.com/1
Killers,Action,Lionsgate,11,2010,https://www.movies.com/1
Just Wright,Comedy,Fox,45,2010,https://www.movies.com/1
Jane Eyre,Romance,Universal,85,2011,https://www.movies.com/1
It's Complicated,Comedy,Universal,56,2009,https://www.movies.com/1
I Love You Phillip Morris,Comedy,Independent,71,2010,https://www.movies.com/1
High School Musical 3: Senior Year,Comedy,Disney,65,2008,https://www.movies.com/1
He's Just Not That Into You,Comedy,Warner Bros.,42,2009,https://www.movies.com/1
Good Luck Chuck,Comedy,Lionsgate,3,2007,https://www.movies.com/1
Going the Distance,Comedy,Warner Bros.,53,2010,https://www.movies.com/1
Gnomeo and Juliet,Animation,Disney,56,2011,https://www.movies.com/1
Gnomeo and Juliet,Animation,Disney,56,2011,https://www.movies.com/1
Ghosts of Girlfriends Past,Comedy,Warner Bros.,27,2009,https://www.movies.com/1
Four Christmases,Comedy,Warner Bros.,26,2008,https://www.movies.com/1
Fireproof,Drama,Independent,40,2008,https://www.movies.com/1
Enchanted,Comedy,Disney,93,2007,https://www.movies.com/1
Dear John,Drama,Sony,29,2010,https://www.movies.com/1
Beginners,Comedy,Independent,84,2011,https://www.movies.com/1
Across the Universe,romance,Independent,54,2007,https://www.movies.com/1
A Serious Man,Drama,Universal,89,2009,https://www.movies.com/1
A Dangerous Method,Drama,Independent,79,2011,https://www.movies.com/1
27 Dresses,Comedy,Fox,40,2008,https://www.movies.com/1
(500) Days of Summer,Comedy,Fox,87,2009,https://www.movies.com/1
